X,Y
962,7656.417
963,7653.094
964,7653.759
965,7656.307
966,7654.338
967,7654.148
968,7657.627
969,7654.734
970,7654.812
971,7656.184
972,7654.259
973,7654.639
974,7656.583
975,7654.827
976,7654.032
977,7656.549
978,7654.999
979,7654.082
980,7656.858
981,7653.345
982,7653.833
983,7656.782
984,7654.796
985,7654.584
986,7656.129
987,7654.375
988,7653.782
989,7655.986
990,7654.602
991,7653.502
992,7655.961
993,7653.067
994,7653.204
995,7653.546
996,7651.593
997,7651.909
998,7654.762
999,7652.509
1000,7653.448
1001,7654.915
1002,7652.841
1003,7652.001
1004,7655.715
1005,7653.204
1006,7651.308
1007,7654.344
1008,7653.910
1009,7653.248
1010,7655.798
1011,7652.703
1012,7651.649
1013,7656.057
1014,7654.603
1015,7653.975
1016,7655.864
1017,7654.455
1018,7654.827
1019,7656.005
1020,7655.018
1021,7653.263
1022,7655.893
1023,7653.815
1024,7653.471
1025,7656.365
1026,7654.855
1027,7653.503
1028,7656.032
1029,7663.292
1030,7667.611
1031,7683.965
1032,7681.879
1033,7683.114
1034,7670.983
1035,7667.189
1036,7665.446
1037,7657.107
1038,7654.589
1039,7652.132
1040,7654.856
1041,7653.327
1042,7650.587
1043,7653.679
1044,7654.337
1045,7653.882
1046,7655.623
1047,7654.572
1048,7652.911
1049,7655.644
1050,7654.913
1051,7654.284
1052,7655.547
1053,7653.207
1054,7652.642
1055,7656.229
1056,7654.732
1057,7652.848
1058,7654.831
1059,7654.140
1060,7653.427
1061,7654.328
1062,7654.178
1063,7653.046
1064,7654.446
1065,7654.964
1066,7652.820
1067,7654.954
1068,7655.071
1069,7652.770
1070,7655.020
1071,7654.419
1072,7652.593
1073,7653.505
1074,7653.985
1075,7654.771
1076,7655.504
1077,7655.396
1078,7653.959
1079,7652.179
1080,7653.443
1081,7652.299
1082,7655.128
1083,7654.744
1084,7653.335
1085,7655.167
1086,7655.529
1087,7653.449
1088,7655.354
1089,7654.648
1090,7654.088
1091,7655.463
1092,7655.507
1093,7656.873
1094,7656.297
1095,7656.946
1096,7654.875
1097,7656.092
1098,7657.187
1099,7653.442
1100,7654.130
1101,7655.482
1102,7653.312
1103,7654.212
1104,7653.481
1105,7652.527
1106,7654.236
1107,7654.186
1108,7650.904
1109,7651.032
1110,7653.268
1111,7651.359
1112,7651.829
1113,7652.244
1114,7651.105
1115,7651.579
1116,7653.371
1117,7650.897
1118,7651.902
1119,7653.049
1120,7652.016
1121,7652.078
1122,7653.101
1123,7651.822
1124,7651.346
1125,7653.195
1126,7651.254
1127,7651.258
1128,7653.895
1129,7651.437
1130,7651.530
1131,7655.155
1132,7652.305
1133,7652.264
1134,7653.497
1135,7651.327
1136,7651.210
1137,7654.423
1138,7653.795
1139,7652.252
1140,7654.940
1141,7654.062
1142,7654.323
1143,7654.979
1144,7669.055
1145,7666.732
1146,7670.317
1147,7668.859
1148,7668.513
1149,7670.065
1150,7668.873
1151,7665.456
1152,7669.302
1153,7669.087
1154,7666.336
1155,7668.224
1156,7665.937
1157,7665.733
1158,7655.288
1159,7652.993
1160,7652.078
1161,7654.952
1162,7653.322
1163,7652.494
1164,7654.084
1165,7652.245
1166,7651.191
1167,7652.816
1168,7655.473
1169,7652.622
1170,7649.524
1171,7651.931
1172,7650.925
1173,7651.999
1174,7652.177
1175,7653.179
1176,7656.132
1177,7654.114
1178,7653.885
1179,7655.695
1180,7654.456
1181,7653.908
1182,7655.199
1183,7654.261
1184,7654.375
1185,7656.251
1186,7655.162
1187,7653.312
1188,7657.200
1189,7655.037
1190,7654.151
1191,7656.709
1192,7652.198
1193,7652.832
1194,7655.235
1195,7653.857
1196,7651.869
1197,7651.977
1198,7651.210
1199,7651.240
1200,7653.243
1201,7652.678
1202,7651.248
1203,7652.744
1204,7652.297
1205,7651.615
1206,7655.215
1207,7653.042
1208,7652.226
1209,7654.167
1210,7652.854
1211,7652.502
1212,7653.667
1213,7653.637
1214,7651.886
1215,7653.521
1216,7652.824
1217,7651.321
1218,7653.982
1219,7652.498
1220,7651.225
1221,7653.592
1222,7652.384
1223,7651.479
1224,7653.128
1225,7652.700
1226,7652.162
1227,7652.904
1228,7651.249
1229,7650.395
1230,7653.123
1231,7652.979
1232,7651.490
1233,7652.691
1234,7653.002
1235,7652.166
1236,7653.418
1237,7652.915
1238,7651.654
1239,7654.103
1240,7652.737
1241,7651.968
1242,7655.082
1243,7653.544
1244,7654.554
1245,7654.657
1246,7653.146
1247,7651.203
1248,7653.988
1249,7653.325
1250,7651.416
1251,7653.716
1252,7653.122
1253,7652.009
1254,7653.912
1255,7653.557
1256,7652.738
1257,7653.613
1258,7653.155
1259,7650.386
1260,7652.134
1261,7653.635
1262,7651.894
1263,7652.782
1264,7653.742
1265,7651.994
1266,7654.000
1267,7653.535
1268,7652.973
1269,7654.756
1270,7654.813
1271,7654.171
1272,7654.916
1273,7655.262
1274,7653.260
1275,7654.461
1276,7654.683
1277,7684.601
1278,7722.892
1279,7721.996
1280,7720.287
1281,7721.583
1282,7722.746
1283,7721.641
1284,7722.593
1285,7721.786
1286,7720.554
1287,7722.369
1288,7722.109
1289,7719.889
1290,7721.750
1291,7720.699
1292,7719.945
1293,7720.821
1294,7726.127
1295,7734.264
1296,7735.475
1297,7735.897
1298,7734.272
1299,7733.174
1300,7726.892
1301,7720.697
1302,7721.196
1303,7721.938
1304,7720.198
1305,7721.513
1306,7722.797
1307,7721.222
1308,7722.289
1309,7722.172
1310,7720.906
1311,7721.860
1312,7722.258
1313,7721.539
1314,7721.509
1315,7722.307
1316,7721.015
1317,7713.562
1318,7647.563
1319,7645.872
1320,7647.352
1321,7645.694
1322,7644.211
1323,7644.859
1324,7646.964
1325,7645.833
1326,7646.002
1327,7647.349
1328,7646.103
1329,7645.830
1330,7646.943
1331,7646.796
1332,7646.564
1333,7662.886
1334,7722.281
1335,7721.934
1336,7722.084
1337,7720.511
