X,Y
353,6635.106
354,6879.452
355,7141.761
356,7373.151
357,7561.405
358,7776.672
359,8024.200
360,8314.103
361,8567.355
362,8852.126
363,9240.955
364,9546.416
365,9913.196
366,10166.620
367,10507.593
368,10760.525
369,11195.979
370,11511.149
371,11842.858
372,12265.016
373,12508.723
374,12781.036
375,13075.093
376,13388.410
377,13544.258
378,13938.201
379,14459.219
380,14858.660
381,15181.298
382,15519.952
383,15858.206
384,16296.557
385,16717.854
386,17128.822
387,17575.225
388,17983.861
389,18386.654
390,18749.660
391,19200.031
392,19626.904
393,20018.646
394,20335.004
395,20717.178
396,21135.506
397,21515.439
398,21904.875
399,22327.500
400,22739.961
401,23213.850
402,23723.633
403,24201.537
404,24675.143
405,25069.580
406,25396.699
407,25820.918
408,26188.359
409,26575.188
410,26952.764
411,27202.820
412,27222.443
413,27184.498
414,27384.092
415,27739.477
416,28111.578
417,28381.791
418,28690.023
419,28882.979
420,29292.250
421,29543.865
422,29947.514
423,30264.783
424,30529.705
425,30859.305
426,31169.312
427,31773.484
428,31933.490
429,31938.174
430,23803.180
431,757.308
432,1149.166
433,1428.469
434,1685.950
435,2037.598
436,2400.979
437,2747.916
438,3150.254
439,3474.743
440,3907.955
441,4261.801
442,4662.615
443,4960.690
444,5310.873
445,5646.837
446,5841.501
447,5951.424
448,6248.739
449,6703.101
450,7062.219
451,7450.159
452,7729.878
453,7882.324
454,8016.221
455,8320.118
456,8760.255
457,9124.021
458,9493.637
459,9819.021
460,10125.633
461,10438.420
462,10844.889
463,11221.709
464,11657.790
465,11966.246
466,12339.809
467,12582.552
468,13115.793
469,13547.190
470,13921.952
471,14311.037
472,14664.508
473,14988.598
474,15275.506
475,15501.168
476,16002.656
477,16196.343
478,16470.715
479,16773.533
480,17047.068
481,17355.602
482,17704.727
483,17844.100
484,17730.947
485,17608.850
486,17883.926
487,18299.672
488,18660.822
489,18888.996
490,18907.600
491,19090.828
492,19412.367
493,19807.885
494,20203.158
495,20624.848
496,20961.115
497,21425.336
498,21794.287
499,22146.326
500,22394.881
501,22787.992
502,23225.758
503,23569.416
504,23960.771
505,24273.145
506,24605.920
507,24884.400
508,25183.576
509,25541.629
510,25899.158
511,26277.396
512,26633.939
513,27055.945
514,27298.326
515,27666.639
516,28001.537
517,28350.211
518,28634.662
519,28997.436
520,29362.482
521,29748.404
522,30134.146
523,30525.174
524,30835.434
525,31123.873
526,31364.082
527,31747.271
528,31933.238
529,31936.742
530,18933.938
531,727.679
532,1065.983
533,1431.530
534,1824.214
535,2185.811
536,2562.978
537,2896.281
538,3115.373
539,3267.632
540,3343.208
541,3517.150
542,3746.499
543,3972.123
544,4229.599
545,4441.466
546,4722.212
547,4909.785
548,5175.449
549,5448.475
550,5860.236
551,6261.072
552,6785.201
553,7083.354
554,7277.490
555,7596.780
556,7981.737
557,8439.311
558,8801.581
559,9240.945
560,9672.949
561,10096.359
562,10361.249
563,10737.860
564,11032.221
565,11290.585
566,11567.931
567,11836.133
568,12032.750
569,12190.636
570,12303.438
571,12337.354
572,12670.467
573,12821.682
574,13135.770
575,13370.123
576,13733.220
577,14145.645
578,14577.965
579,15036.895
580,15542.554
581,16019.503
582,16424.811
583,16933.344
584,17267.314
585,17552.457
586,17865.062
587,18104.672
588,18356.008
589,18526.244
590,18734.521
591,18925.068
592,19057.539
593,19173.475
594,19278.643
595,19356.568
596,19339.109
597,19300.324
598,19309.477
599,19475.441
600,19755.758
601,20130.529
602,20431.566
603,20731.342
604,21086.684
605,21490.000
606,21952.682
607,22412.703
608,22847.410
609,23260.027
610,23630.262
611,23916.531
612,24241.068
613,24417.584
614,24452.154
615,24803.031
616,25157.947
617,25390.467
618,25683.293
619,25881.182
620,26073.477
621,26439.582
622,26744.436
623,27027.449
624,27282.695
625,27639.207
626,27915.533
627,28128.648
628,28416.449
629,28772.826
630,29179.686
631,29559.689
632,29978.199
633,30352.705
634,30803.236
635,31045.838
636,31411.346
637,31669.184
638,31922.135
639,31940.168
640,31935.658
641,31938.795
642,17717.629
643,669.083
644,888.781
645,1092.877
646,1312.477
647,1539.960
648,1710.211
649,1903.557
650,2100.548
651,2333.362
652,2624.256
653,2909.419
654,3234.986
655,3545.485
656,3972.352
657,4423.165
658,4846.943
659,5231.625
660,5544.320
661,5898.285
662,6214.557
663,6617.646
664,6870.508
665,6980.880
666,7598.408
667,7904.888
668,8149.208
669,8503.677
670,8739.271
671,8896.870
672,9177.378
673,9416.987
674,9625.886
675,9813.539
676,9957.658
677,10141.239
678,10428.801
679,10683.953
680,10900.944
681,10952.723
682,10948.660
683,10943.994
684,11032.134
685,11365.479
686,11699.297
687,12072.316
688,12394.404
689,12741.002
690,13039.207
691,13513.173
692,13974.673
693,14384.148
694,14809.794
695,15316.190
696,15682.208
697,16034.426
698,16373.262
699,16634.449
700,16818.898
701,16908.010
702,17037.682
703,17077.730
704,17069.600
705,17061.363
706,17062.344
707,17071.996
708,17094.094
709,17101.148
710,17103.121
711,17109.434
712,17108.568
713,17105.121
714,17102.951
715,17101.980
716,17104.693
717,17103.361
718,17101.752
719,17101.883
720,17101.865
721,17100.168
722,17100.582
723,17101.600
724,17107.482
725,17109.230
726,17108.043
727,17109.109
728,17110.508
729,17110.248
730,17109.020
731,17110.992
732,17110.770
733,17109.355
734,17110.504
735,17109.520
736,17108.494
737,17109.398
738,17109.436
739,17108.271
740,17109.281
741,17134.262
742,17126.982
743,17128.320
744,17131.842
745,17126.129
746,17118.055
747,17118.666
748,17116.928
749,17117.666
750,17117.881
751,17117.223
752,17117.818
753,17118.797
754,17118.586
755,17134.482
756,17135.545
757,17136.873
758,17124.012
759,17120.770
760,17117.406
761,17119.031
762,17118.891
763,17117.803
764,17118.320
765,17117.578
766,17116.879
767,17116.504
768,17116.736
769,17116.836
770,17117.207
771,17117.648
772,17116.449
